FID,HotSpringU,Name,Label,OtherIdent,Source,SourceURI,FeatureTyp,OtherLocat,County,State,PLSS_Merid,Township,Range,Section,SectionPar,LatDegree,LongDegree,SRS,Observatio,Temperatur,Temperat_1,TempMeasur,TempMeas_1,Flow,FlowUnits,FlowMeasur,FlowMeas_1,Classifica,RelatedWat,DataEntryS,RelatedRes,TOPO100K,QUAD_NAME,WKT
263,OR_Borax Lake Hot Spring - B0420_DOGAMI:HA-081f2,Borax Lake Hot Spring - B0420,Borax Lake Hot Spring - B0420,HA-081f2,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.33009,-118.603867,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f2,140,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f2.pdf,Alvord Lake,Borax Lake,POINT (1825192.3064697443 217420.68944099234)
264,OR_Borax Lake Hot Spring - B0650_DOGAMI:HA-081f3,Borax Lake Hot Spring - B0650,Borax Lake Hot Spring - B0650,HA-081f3,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330653,-118.603643,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f3,161.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f3.pdf,Alvord Lake,Borax Lake,POINT (1825248.1415513302 217627.27612510673)
265,OR_Borax Lake Hot Spring - B0840_DOGAMI:HA-081f4,Borax Lake Hot Spring - B0840,Borax Lake Hot Spring - B0840,HA-081f4,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330988,-118.603604,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f4,158,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f4.pdf,Alvord Lake,Borax Lake,POINT (1825255.8674881901 217749.61171367724)
266,OR_Borax Lake Hot Spring - B1080_DOGAMI:HA-081f5,Borax Lake Hot Spring - B1080,Borax Lake Hot Spring - B1080,HA-081f5,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBB,42.332608,-118.603042,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f5,161.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f5.pdf,Alvord Lake,Borax Lake,POINT (1825394.2003605443 218343.53762959299)
267,OR_Borax Lake Hot Spring - B1340_DOGAMI:HA-081f6,Borax Lake Hot Spring - B1340,Borax Lake Hot Spring - B1340,HA-081f6,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCC,42.334322,-118.602883,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f6,168.7,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f6.pdf,Alvord Lake,Borax Lake,POINT (1825422.7596215787 218969.20389218043)
268,OR_Borax Lake Hot Spring - B1580_DOGAMI:HA-081f7,Borax Lake Hot Spring - B1580,Borax Lake Hot Spring - B1580,HA-081f7,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCD,42.335166,-118.602568,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f7,129.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081f7.pdf,Alvord Lake,Borax Lake,POINT (1825500.8275745595 219278.77081041419)
269,OR_Borax Lake Hot Spring - B0040_DOGAMI:HA-081g,Borax Lake Hot Spring - B0040,Borax Lake Hot Spring - B0040,HA-081g,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.329324,-118.60406,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g,132.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g.pdf,Alvord Lake,Borax Lake,POINT (1825146.562264204 217140.31234184056)
270,OR_Borax Lake Hot Spring - B0230_DOGAMI:HA-081g1,Borax Lake Hot Spring - B0230,Borax Lake Hot Spring - B0230,HA-081g1,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.329681,-118.603897,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g1,147.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g1.pdf,Alvord Lake,Borax Lake,POINT (1825187.6367711802 217271.44046771532)
271,OR_Borax Lake Hot Spring - B0430_DOGAMI:HA-081g2,Borax Lake Hot Spring - B0430,Borax Lake Hot Spring - B0430,HA-081g2,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.330102,-118.603877,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g2,172.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g2.pdf,Alvord Lake,Borax Lake,POINT (1825189.5012015749 217425.00042157513)
272,OR_Borax Lake Hot Spring - B0660_DOGAMI:HA-081g3,Borax Lake Hot Spring - B0660,Borax Lake Hot Spring - B0660,HA-081g3,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330682,-118.603703,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g3,116.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g3.pdf,Alvord Lake,Borax Lake,POINT (1825231.6720575881 217637.47046020839)
273,OR_Borax Lake Hot Spring - B0840-v1_DOGAMI:HA-081g4,Borax Lake Hot Spring - B0840-v1,Borax Lake Hot Spring - B0840-v1,HA-081g4,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330984,-118.603607,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g4,197.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g4.pdf,Alvord Lake,Borax Lake,POINT (1825255.0899035973 217748.13515794452)
274,OR_Borax Lake Hot Spring - B1090_DOGAMI:HA-081g5,Borax Lake Hot Spring - B1090,Borax Lake Hot Spring - B1090,HA-081g5,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBB,42.332614,-118.603036,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g5,192,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g5.pdf,Alvord Lake,Borax Lake,POINT (1825395.7723101361 218345.76184245673)
275,OR_Borax Lake Hot Spring - B1350_DOGAMI:HA-081g6,Borax Lake Hot Spring - B1350,Borax Lake Hot Spring - B1350,HA-081g6,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCC,42.334355,-118.602855,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g6,183.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g6.pdf,Alvord Lake,Borax Lake,POINT (1825430.0530365182 218981.40582037548)
276,OR_Borax Lake Hot Spring - B1590_DOGAMI:HA-081g7,Borax Lake Hot Spring - B1590,Borax Lake Hot Spring - B1590,HA-081g7,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCD,42.335172,-118.602588,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g7,141.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081g7.pdf,Alvord Lake,Borax Lake,POINT (1825495.3689859454 219280.83252470347)
277,OR_Borax Lake Hot Spring - B0050_DOGAMI:HA-081h,Borax Lake Hot Spring - B0050,Borax Lake Hot Spring - B0050,HA-081h,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.329335,-118.604052,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h,179.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h.pdf,Alvord Lake,Borax Lake,POINT (1825148.6330976665 217144.37130108057)
278,OR_Borax Lake Hot Spring - B0230-v1_DOGAMI:HA-081h1,Borax Lake Hot Spring - B0230-v1,Borax Lake Hot Spring - B0230-v1,HA-081h1,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.329672,-118.603896,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h1,147.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h1.pdf,Alvord Lake,Borax Lake,POINT (1825187.9829617869 217268.16663008582)
279,OR_Borax Lake Hot Spring - B0440_DOGAMI:HA-081h2,Borax Lake Hot Spring - B0440,Borax Lake Hot Spring - B0440,HA-081h2,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.330174,-118.60382,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h2,190.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h2.pdf,Alvord Lake,Borax Lake,POINT (1825204.3092799443 217451.59713714261)
280,OR_Borax Lake Hot Spring - B0670_DOGAMI:HA-081h3,Borax Lake Hot Spring - B0670,Borax Lake Hot Spring - B0670,HA-081h3,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330701,-118.603698,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h3,190.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h3.pdf,Alvord Lake,Borax Lake,POINT (1825232.8642059925 217644.42631324602)
281,OR_Borax Lake Hot Spring - B0840-v2_DOGAMI:HA-081h4,Borax Lake Hot Spring - B0840-v2,Borax Lake Hot Spring - B0840-v2,HA-081h4,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330996,-118.603596,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h4,186.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h4.pdf,Alvord Lake,Borax Lake,POINT (1825257.9634986951 217752.57731972108)
282,OR_Borax Lake Hot Spring - B1100_DOGAMI:HA-081h5,Borax Lake Hot Spring - B1100,Borax Lake Hot Spring - B1100,HA-081h5,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBB,42.332768,-118.602698,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h5,170.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h5.pdf,Alvord Lake,Borax Lake,POINT (1825485.8748780801 218403.99995118653)
283,OR_Borax Lake Hot Spring - B1360_DOGAMI:HA-081h6,Borax Lake Hot Spring - B1360,Borax Lake Hot Spring - B1360,HA-081h6,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCC,42.334371,-118.602852,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h6,204.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h6.pdf,Alvord Lake,Borax Lake,POINT (1825430.7294887635 218987.25581608084)
284,OR_Borax Lake Hot Spring - B1600_DOGAMI:HA-081h7,Borax Lake Hot Spring - B1600,Borax Lake Hot Spring - B1600,HA-081h7,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCD,42.335183,-118.602584,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h7,179.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081h7.pdf,Alvord Lake,Borax Lake,POINT (1825496.3579305548 219284.8665064098)
285,OR_Borax Lake Hot Spring - B0060_DOGAMI:HA-081i,Borax Lake Hot Spring - B0060,Borax Lake Hot Spring - B0060,HA-081i,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.329332,-118.604022,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i,190.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i.pdf,Alvord Lake,Borax Lake,POINT (1825156.7711973737 217143.46531750157)
286,OR_Borax Lake Hot Spring - B0230-v2_DOGAMI:HA-081i1,Borax Lake Hot Spring - B0230-v2,Borax Lake Hot Spring - B0230-v2,HA-081i1,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.329681,-118.603897,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i1,125.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i1.pdf,Alvord Lake,Borax Lake,POINT (1825187.6367711802 217271.44046771532)
287,OR_Borax Lake Hot Spring - B0450_DOGAMI:HA-081i2,Borax Lake Hot Spring - B0450,Borax Lake Hot Spring - B0450,HA-081i2,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BCB,42.33024,-118.603802,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i2,144,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i2.pdf,Alvord Lake,Borax Lake,POINT (1825208.6212911215 217475.76351929884)
288,OR_Borax Lake Hot Spring - B0680_DOGAMI:HA-081i3,Borax Lake Hot Spring - B0680,Borax Lake Hot Spring - B0680,HA-081i3,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.330719,-118.603691,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i3,131,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i3.pdf,Alvord Lake,Borax Lake,POINT (1825234.6056167739 217651.03020661892)
289,OR_Borax Lake Hot Spring - B0850_DOGAMI:HA-081i4,Borax Lake Hot Spring - B0850,Borax Lake Hot Spring - B0850,HA-081i4,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBC,42.331,-118.603636,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i4,186.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i4.pdf,Alvord Lake,Borax Lake,POINT (1825247.1129884506 217753.78524809171)
290,OR_Borax Lake Hot Spring - B1110_DOGAMI:HA-081i5,Borax Lake Hot Spring - B1110,Borax Lake Hot Spring - B1110,HA-081i5,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,14,BBA,42.333099,-118.602648,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i5,165.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i5.pdf,Alvord Lake,Borax Lake,POINT (1825496.6072634174 218524.94645553941)
291,OR_Borax Lake Hot Spring - B1370_DOGAMI:HA-081i6,Borax Lake Hot Spring - B1370,Borax Lake Hot Spring - B1370,HA-081i6,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCC,42.334394,-118.602848,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i6,179.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i6.pdf,Alvord Lake,Borax Lake,POINT (1825431.6173863388 218995.66323206126)
292,OR_Borax Lake Hot Spring - B1610_DOGAMI:HA-081i7,Borax Lake Hot Spring - B1610,Borax Lake Hot Spring - B1610,HA-081i7,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,037S,033E,11,CCD,42.335311,-118.602575,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i7,163.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-081i7.pdf,Alvord Lake,Borax Lake,POINT (1825497.7132704183 219331.57271991562)
